O00408	constitutional_nAtomP,topological_khs.aaaC
O14672	constitutional_XLogP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,topological_khs.sOH,topological_HybRatio
O14684	constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_naAromAtom,electronic_nHBAcc,hybrid_Wlambda1.unity,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_MDEO.11,topological_MDEO.12,topological_MDEN.22,topological_MDEN.23,topological_khs.dssC,topological_khs.aaaC,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.sssN,topological_khs.sOH,topological_khs.ssS,topological_khs.ddssS,topological_khs.sCl,topological_FMF,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.7,topological_ATSm5,topological_ATSc3
O14746	hybrid_BCUTp.1h,topological_nRings5,topological_khs.aaCH,topological_khs.ssNH,topological_SCH.5,topological_VCH.5
O14757	constitutional_nAtomP,geometrical_geomShape,geometrical_GRAV.6,hybrid_BCUTw.1h,hybrid_BCUTp.1l,topological_geomShape,topological_MDEN.12,topological_khs.dsCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.sCl
O14842	constitutional_XLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,geometrical_topoShape,geometrical_MOMI.X,geometrical_MOMI.Y,geometrical_MOMI.XZ,geometrical_MOMI.R,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_WT.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromBlocks,topological_nRings3,topological_nRings6,topological_tpsaEfficiency,topological_Zagreb,topological_WPOL,topological_VAdjMat,topological_TopoPSA,topological_topoShape,topological_PetitjeanNumber,topological_MDEC.11,topological_MDEC.12,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_khs.sCH3,topological_khs.ssCH2,topological_khs.aaCH,topological_khs.tsC,topological_khs.aasC,topological_khs.ssssC,topological_khs.sF,topological_ECCEN,topological_SCH.3,topological_SCH.5,topological_SCH.7,topological_VCH.3,topological_VCH.7,topological_C2SP1,topological_C3SP2,topological_C3SP3,topological_C4SP3,topological_ATSp2,topological_ATSp3,topological_ATSp4
O14920	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_nHBDon,electronic_RPCG,geometrical_RPCG,hybrid_Wlambda2.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_MDEO.12,topological_MDEN.11,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.dssC,topological_khs.aasC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.dO,topological_khs.ssO,topological_khs.sCl,topological_HybRatio,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C2SP2,topological_C3SP2,topological_ATSc5
O14939	electronic_RPCG,electronic_RHSA,electronic_RPSA,geometrical_GRAV.1,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.1,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_GRAV.6,geometrical_RPCG,geometrical_RHSA,geometrical_RPSA,hybrid_BCUTc.1h,topological_WPOL,topological_MDEC.33,topological_MDEN.23,topological_khs.ssNH,topological_khs.sssN,topological_SCH.7,topological_VCH.7,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm2,topological_ATSc3
O14965	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_naAromAtom,constitutional_AMR,electronic_nHBDon,electronic_nHBAcc,electronic_PNSA.2,electronic_FNSA.2,electronic_RPCG,electronic_RNCG,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_MOMI.R,geometrical_GRAV.2,geometrical_PNSA.2,geometrical_FNSA.2,geometrical_RPCG,geometrical_RNCG,hybrid_Wlambda2.unity,hybrid_Wnu2.unity,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_MDEO.12,topological_MDEO.22,topological_MDEN.11,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaN,topological_khs.aasN,topological_khs.dO,topological_khs.ssO,topological_Kier3,topological_FMF,topological_VCH.5,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C2SP3,topological_ATSp1,topological_ATSc2
O15379	constitutional_XLogP,constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,geometrical_MOMI.XZ,geometrical_MOMI.YZ,hybrid_Wlambda1.unity,hybrid_BCUTw.1h,topological_nRingBlocks,topological_MDEC.24,topological_MDEC.34,topological_MDEN.23,topological_khs.dsCH,topological_khs.aaCH,topological_khs.sssCH,topological_khs.ssssC,topological_khs.sNH2,topological_khs.dsN,topological_khs.sssN,topological_khs.sOH,topological_khs.dO,topological_khs.aaS,topological_FMF,topological_VCH.5,topological_VCH.6,topological_VCH.7,topological_ATSc5
O15530	constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_RPCG,electronic_RPCS,electronic_TPSA,electronic_RHSA,electronic_RPSA,geometrical_MOMI.Y,geometrical_MOMI.Z,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_RPCG,geometrical_RPCS,geometrical_TPSA,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda3.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_WT.unity,hybrid_WK.unity,hybrid_BCUTc.1h,hybrid_BCUTp.1l,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.24,topological_MDEC.34,topological_MDEN.12,topological_MDEN.23,topological_khs.tsC,topological_khs.dssC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aasN,topological_khs.sF,topological_SCH.7,topological_C2SP1,topological_C1SP2,topological_ATSc2,topological_ATSc5
O43353	hybrid_BCUTw.1l,hybrid_BCUTc.1h,topological_nAromBlocks,topological_MDEC.11,topological_MDEC.14,topological_MDEN.11,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aaN,topological_khs.dO,topological_ATSc5
